source_id,source_url,source_author,source_date,cite_date,notes,stone_name_fi,event_date,location_info,stone_name_en,stone_name_sv
viikkosanomat30061923,https://digi.kansalliskirjasto.fi/aikakausi/binding/1735486?term=v%C3%A4kikive%C3%A4&term=v%C3%A4kikivi&term=v%C3%A4kikiven&page=11,,1923-06-30,2025-10-22,"Entisajan voima' miehiä Ähtärissä: Tämän poika Siltalan Kustavi nuorena taas oli voimamies. Kyläkunnan miesten väkikivi oli jossakin aidan vieressä, ja oli se niin raskas tavallisille miehille, ittä vain kaksi miestä koko kyläkunnasta jaksoi sitä hieman liikutella. Kun Kustavi kulki kerran siitä paikasta sivuitse, uin hän heitti kyläkunnan miesten väkikiven aidan taakse. Pahana olivat miehet pitäneet, kun olivat kuulleet Siltalan Kustavin voimateosta.",,,,,
budkavlen01011929,https://digi.kansalliskirjasto.fi/aikakausi/binding/917722?term=lyftesten&page=8,,1929-01-01,202-10-22,"(KUVA)En lyftesten: 1 Approximativt kan stenen betraktas som ett rätt prisma, vars bas utgöres av en triangel med sidorna 56. 46 och 60 cm och vars höjd är 28 cm. Av dessa tal beräknas stenens volym till omkr. 34 dm 3 . Räknar man med en specifik vikt av 2,7 blir stenens vikt omkr. 92 kg.
Ovan avbildade sten befinner sig i Nedervetil vid det vägskäl, där körvägen upp till Klockarbacken viker av från allmänna landsvägen och närmare bestämt på södra sidan av landsvägen. Stenen bär av gammalt namnet *Tomasasstäinä« (Tomas' sten). Den är välbekant för de manliga församlingsmedlemmarna i Nedervetil, ty varje år pröva skriftskolpojkarna sina krafter på densamma. Den, som orkar lyfta stenen från marken, betraktas av sina kamrater som fullvuxen, medan den, som icke mäktar med stenen, anses hava kommit för tidigt till skriftskolan. Och det måste nog erkännas, att den nutida skriftskolungdomen icke fyller måttet, ty en årgång skriftskolpojkar kan vanligen uppvisa endast ett par unga män, som lyfta stenen från marken. 1 De älsta nedervetilborna berätta, att «Tomasasstäinä« har varit föremål för skriftskolungdomens intresse redan före deras tid. Dessutom förklara de alla, att stenen har sitt namn av en man, som hette Tomas och bodde helt nära kyrkan, nämligen på Måsabacka. Denne Tomas skall hava burit stenen den 3 4 km. långa vägen från kyrkan till dess nuvarande plats. Om detta är sant, kan man föreställa sig, att han har vilat flere gånger på vägen. De, som berätta om sambandet iriellan Tomas och stenen, veta i allmänhet icke, när han levde. En person har dock lämnat uppgiften, att Tomas föddes omkr. år 1800.
Walter Herrgård.",Tuomaan kivi,,,Tomas's stone,Tomasasstäinä
hakkapeliitta29091931,https://digi.kansalliskirjasto.fi/aikakausi/binding/1109579?term=Nostokiven&page=23,,1931-09-29,2025-10-22,"Nostokiven kalliolla oli vielä minun nuorena ollessani Ison Rönkön kantama kivi. Sen hän oli ottanut Lehtoniemen pellolta aamiaiselle tullessaan kainaloonsa, pudottanut Kaijanmäen tien varteen ja sanonut:",,,,,
urheilija01011931,https://digi.kansalliskirjasto.fi/aikakausi/binding/864019?term=V%C3%A4kikivi%C3%A4&term=v%C3%A4kikiven&page=28,,1931-01-01,2025-10-22,"KOTISEUTUNI IHANNEMIES.
URHEILIJALLE kirjoitti OSKARI NOUSIAINEN.
Kotiseutuni on erään pitäjän uloin kolkka karussa Suur- Savossa.Väkikiviä on vanhempaan aikaan ollut joka kylässä. Kangasniemessä on sellaisia ollut paljon — on kait vieläkin. Nuorena (23-vuotiaana v. 1823) kuollut talollinen Antti Nousiainen on pitäjän historian mukaan ollut kuuluisa voimamies, joka kävi salaa viskaamassa entisen väkikiven korkean kujan aidan yli kuin ei mitään. Mutta näillä kansan muistelmilla on suurempi ja syvempi arvo. Ne muodostuvat vähitellen hahmotteluksi miesihanteesta. Onhan jokaisesta voimamiehestä aina lausuttu myös oliko hän »komea ja kaunis», minkälainen hän oli luonteeltaan jne. Kullakin seudulla on oma kansanomainen miesihanteensa. Se on myöskin todellinen sikäli, että se on kansan kertomuksissa kudottu arvoa ja kunnioitusta nauttineiden miesten nimen ympärille. Ja tämä minun kotiseutuni ihannemies, olisi antiikin aikakaudenkin mittojen mukaan kelpaava kilpakentälle — vaikka hänen saavutuksistaan kertovatkin nyt enää karuille rinteille raivatut pellot jykevine kiviaitoineen — ja väkikivet, jotka ovat jo sammaltuneet.",,,,,
kansankuvalehti16011931,https://digi.kansalliskirjasto.fi/aikakausi/binding/871141?term=v%C3%A4kikivenkin&term=v%C3%A4kikivi&term=v%C3%A4kikive%C3%A4&page=12,,1931-01-16,2025-10-22,"Tavallista kesäpäivän pyhätyötä oli kärryjen viskaaminen akselista pään ylitse. Siihen kyllä, jos kärryt olivat isot, ei joka mies kyennyt. Suutari-Vihtori yritti kerran ja väänsi itsensä pilalle, mutta monet raavaat ukot heittelivät kärryjä vain kerta toisensa perästä. Eheää miestä vaati väkikivenkin nosto, joka myös oli jokapyhäistä askartelua. Monen talon kartanolla oli komea väkikivi, jota sadat kourat olivat kuluttaneet ja yhä kuluttivat. Monesti vielä naisetkin olivat kivennostossa miesten kanssa kilpasilla. Jylhän naiset olivat oikein raikuja ihmisiä, puhumattakaan Rotmon tyttäristä. Mutta kun Poras-äijä meni suurta väkikiveä kiskovan miesjoukon luo, otti hän ja heitti kiven aidan ylitse ja sanoi:
— Ei tuollaista kehtaa mies nostella! Vanha Poras-äijä olikin sellainen metsäläinen, että kanteli täysinäisiä tervatynnyreitä kaksittain vain sormikoukullaan tapinreiästä kiinni pitäen.",,,,,
itahame23041931,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1183581?page=1,,1930-04-23,2025-11-04,"Vierailuiltama Hartolan suojeluskunnan talolla.
V. ja U-seura'Sysmän Sisu järjestää iltaman, kuten ilm. tässä num., sunnuntaina t.k. 27 pnä. Hartolalaisille lienee nyt ensihätään mielenkiintoista tietää vierailuun yllyttävät asianhaarat ja siinä mielessä mainitsemme niistä alkusysäyksen. Seuraus vaikuttavista esityksistä ja kunnioitukseen vetoavista teoista oli nyt sellainen, että „Mattilan mummun"" ottaa
„Sisu“ mukaansa hartolalaisille tulijaisiksi ja kuljettaa sen Museon pihamaalle sekä iltamassaan tekee selkoa „mummun“ aikaisemmista hyvinkin mielenkiintoisista vaiheista. ",Mattilan Mummu,,,,
itahame30041930,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1183582?term=nostokiven&term=nostokivest%C3%A4&page=2,,1930-04-30,2025-10-22,"Viime sunnuntainen V. ja U-seura Sysmän ..Sisun"" järjestämä vierailuiltansa Hartolassa sai osakseen erikoisen mielenkiinnon siitä syystä, että seura tällöin tallensi vanhoilta ajoilta säilyneen muistoesineen sileän pallon muotoisen 180,5 kg. painoisen nostokiven Itä-Hämeen museoon.",Mattilan Mummu,,,,
itahame07051930,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1183583?page=2,,1930-05-07,2025-11-04,"Kuuluisin niistä, mistä minä olen kuullut puhuttavan on «Mattilan mummu"" Liikolassa. Mattilan mummu on aivan pyöreä ehkä n. 200 kg.n painoinen kivi, joka siihen aikaan n. 30 v. sitten, kun Liikolan kylä oli vielä entisessä tiheässä ryhmityksessään, sijaitsi aivan kylän keskellä, nyt jo hävitettyjen Mattilan ja Hauvolan talon pihamaalla",Mattilan Mummu,,,,
lahti05011931,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1871951?page=3,,1931-01-05,2025-11-14,"Harvinaislaatuinen oikeus-
juttu.
„Mattilan mummon” museoon vieminen aiheutti oikeusjutun.
Sysmän piakkoin alkavilla talvikäräjillä tulee esille harvinaislaatuinen oikeusjuttu. Talollinen Tuomas Nyberg Sysmän Liikolan kylästä on nim. haastanut talollisen Evert Peltolan, kot. samasta Liikolan kylästä, oikeuteen siitä, että Peltola oli Sysmän Sisun pyynnöstä toimittanut Itä-Hämeen Museoon Liikolan kylässä nostokivenä käytetyn n.s. «Mattilan mummon”, koska se oli joutunut hunningolle ajelehtimaan. Sysmän Sisun johtokunnan jäsenet on haastettu käräjiin myöskin kuulemista varten. Mainittu «Mattilan mummo” on 180 kg. painava pyöreä kivi, jonka nostamista on mainitussa kylässä pidetty korkeana miehisyyden näytteenä.",Mattilan Mummu,,,,
helsinginsanomat08011931,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1828245?page=7,Tiitus,1931-01-08,2025-11-14,"Viime aikoina on mummo, ainakin Sysmän Sisun johtokunnan mielestä, ollut ja ajelehtinut jossain määrin hunningolla. Johtokunta ajatteli kauniisti, että mummo olisi ansainnut kunniakkaan ja rauhallisen vanhuudenkodin, ja niinpä eräs kylän talollisista kyyditsi mainitun seuran pyynnöstä mummon museoon. Mutta eräs toinen talollinen emme tiedä oliko hän rakastunut mummoon vaiko vihastunut museoon, taikka johtuiko se joistakin muista syistä on haastanut mummon kyyditsijan lakitupaan, jonne on kutsuttu kuultavaksi myöskin Sysmän Sisun johtokunta.",Mattilan Mummu,,,,
itahame15011931,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1183625?term=nostokivi%C3%A4&term=nostokiven&page=3,,1931-01-15,2025-10-22,"Eilen, keskiviikkona oli toistamiseen esillä Sysmän kihlakunnanoikeudessa rnaanviij. J. Nybergin nostama syytejuttu maanvilj. Evert Peltolaa vastaan siitä, että hän oli viime huhtikuussa, ilman kantajan lupaa, pois kuljettanut Liikolan kylässä maantienohessa olleen nostokiven, n. k. «Mattilan Mummun"" Sysmän pitäjän Tikkalan kylään, josta kivi edelleen kuljetettiin toisella ajemiehellä Itä-Hämeen Museoon.",Mattilan Mummu,,,,
heinolansanomat17011931,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1825033?page=3,,1931-01-17,2025-11-04,"..Mattilan Mummun"" kyyditys Sysmässä.
Tk. 14 p oii toistamiseen esillä Sysmän kihlakunnanoikeudessa mv. J. Nybergin nostama juttu mv. E .Peltolaa vastaan siitä, että hän oii viime huhtikuussa ilman kan- lupaa pois kuljettanut Riikolan kylässä maantien ohessa olleen nostokiven, ns. »Mattilan Mummun» Sysmän pitäjän Tikkalan kylään, josta kivi edelleen kuljetutettiin toisella ajomiehellä Itä- Hämeen Museoon.",Mattilan Mummu,,,,
suomenmaa20011931,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1920801?page=5,,1931-01-20,2025-11-04,"”Tk. 14 p. oli toistamiseen esillä Sysmän kihlakunnanoikeudessa mv. J. Nybergin nostama juttu mv. E. Peltolaa vastaan siltä, että hän oli viime huhtikuussa ilman kantajan lupaa pois kuljettanut Lllkolan kylässä maantien ohessa olleen nostokiven, ns. ""Mattilan Mummun” Sysmän pitäjän Tikkalan kylään, josta kivi edelleen kuljetutettlin toisella ajomiehellä Itä-Hämeen Museoon. ",Mattilan Mummu,,,,
lahti21021931,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1871832?page=4,,1931-02-21,2025-11-04,"Pentti Niemi on Itä-Hämeen urheiluelämän johtava mies, joka on kantanut kuorman ja helteen Itä- Hämeen urheiluelämän kohottamiseksi. Siinä mielessä Pentti Niemi onkin tehnyt ehken suurimman päivätyön kuin kukaan toinen lahtelaisista urheilijoista. Sysmään mies puuhaa innokkaasti urheilukenttää ja vaikka vastuksia on aina „Mattilan mummusta"" alkaen, niin Niemi on hämäläisellä sitkeydellä päättänyt asian loppuun viedä. Sysmän Sisu onkin Niemen ansiosta seutukuntamme elinvoimaisimpia maalaisurheiluseuroja.",,,,,
itahame16041931,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1183649?term=nostokiven&page=3,,1931-04-16,2025-10-22,", Matti!an Mummu ‘
uhataan viedä pois Hartolan museosta.
Mikäli olemme saaneet kuulla aikoo maanvilj. Juho Nyberg viedä tänään pois n. s. Mattilan Mummu nimisen nostokiven Hartolan museosta.
Kuten lukija muistaa, luovutti Mummun museolle V. ja U-seura Sysmän Sisu. Mutta kun Nyberg ei ole tietääkseemme aiheestaan ilmoittanut asianomaiselle seuralle eikä museon johtokunnalle, näyttää tällainen toimenpide mielivaltaiselta.",Mattilan Mummu,,,,
itahame07051931,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1183655?page=2,,1931-05-07,2025-11-14,"«Mattilan Mummun** takaisin paluu Liikolaan tapahtui viime sunnuntaina.
Aikaisemmat hakuyritykset ja suunnitelmat keskeytyivät sen johdosta, että Museon johto pyysi neuvotella asiasta ensin maanviljelijä Juho Nybergin kanssa. Nyttemmin neuvottelut kuitenkin päättyivät siihen, että ikimuistoissa ollut nostokivi »Mattilan Mummu"" oli luovutettava Jussilan emännäksi. V. ja U-seura Sisun puhemiesneuvosto katsoi tässä tapauksessa velvollisuudekseen kiven takaisinkuljetuksen, koska seuran taholta oli erehdytty Mummun poisviemiseen. Mummun takaisinpaluu tapahtui loistobiilillä ja Sisun puhemiehet syvästi nöyryytettynä käsissä pidellen veivät Mummun Juho Nybergin ja poikain kartanolle viime sunnuntaina.",,,,,
itahame15101931,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1183698?page=1,,1931-10-15,,"Niinkuin niin monella muulla alalla on jo tätä ennen sanohut aina »Mattilan Mummun"" syntymäajoista Breittenfeldin taistelun ja »Suomen korkeimman muistokiven pysyttämisen aikoihin asti.",Mattilan Mummu,,,,
kansankuvalehti15091933,https://digi.kansalliskirjasto.fi/aikakausi/binding/879734?term=nostokivi&page=24,,1933-09-15,2025-10-22,"Tämä oli päätös Mummun muilutusjutussa. Joskin tuo käräjänkäynti kaikkine lystikkäisyyksineen ja mahdollisine sivuvaikutteineen oli osoitteena suomalaisten rakkaudesta käräjöimiseen, oli siitä kuitenkin se hyöty, että Mummu pääsi pois museosta ja kotikylässään entiseen kunniaansa.",Mattilan Mummu,,,,
hulden1952,https://digi.kansalliskirjasto.fi/teos/binding/2108623?term=lyftsten&page=30,Hulden,1952-01-01,2025-10-22,"Stubbåkers grisen stu 1 bakasgrisin, »lyftsten», Kx. Det ansågs som ett gott kraftprov att bära stenen över en teg i Stubbåkern. Anledningen till namnet är stenens avlånga form, släta yta och »grisaktiga» storlek. Den väger 139 kg",Stubbåkerin possu,,,,Stubbåkers grisen
stejskal1954,https://digi.kansalliskirjasto.fi/teos/binding/2100584?term=nostokivi&page=168,Maximilian Stejskal,1954-01-01,2025-10-22,"D 1. Kiven nosto är ett av de vanligaste lyftproven även på finskt håll. En nästan lika allmän benämning är väkikiven nosto. Dessutom kallar man det nostokivi (sTI, Padasjoki, Okk, 5, 310; Vb, Okk, 14, 259), nostokoe (nSI, lisalmi, Okk, 6, 277), painon nosto (sTI„ Jämsä, SKS, Väinö Nieminen, 421 a), käsikivet (Sd, Kullaa, Okk, 18, 55) och kinttukinner nosto (sTI, Jämsä, H. Laitinen, SKS, 421 a).",,,,,
stejskal1954,https://digi.kansalliskirjasto.fi/teos/binding/2100584?term=dr%C3%A4ngsten&page=33,Maximilian Stejskal,1954-01-01,2025-10-22,"Det förekommer vissa slags »karlaprov», genom vilka det gäller att visa, att man lämnat barnaåren bakom sig och nu duger som fullgod karl. 1 ) I samband med skriftskolan övar sig pojkarna i olika slags styrkeprov, t. ex. att »lyfta sten» (D.I; A.A. Pe). De stenar, som därvid begagnas, kallas »skriftskolstenar» (M.H. Mb; K.G.A. La). En sådan sten, som skall lyftas upp i famnen, finnes invid kyrkomuren i Oravais. I Pedersöre finnes en dylik sten bakom klockstapeln vid kyrkan. Får man bara upp stenen från marken, så är provet klarat. Stundom gäller det att resa stenen i upprätt ställning. Ibland heter det, att en yngling inte får gifta sig eller räkna sig som fullvuxen, förrän han orkar lyfta stenen i höjd med knäna. Stundom får man lägga ett rep omkring stenen, som kan väga upp till 250 kg (J.R. Pe; M.H. Nb; M.S. Tj; N.R.Pu).
Stenen kan också vara försedd med järnband, ring eller krok. En sådan sten fanns före sekelskiftet på rådstugugården i Nykarleby. Den kallades »junttansten», och man använde den till att påla med. Det var särskilt »skriftskoleschacket» som övade sig flitigt i att resa upp den i stående ställning (E.E. Nb).",,,,,
stejskal1954,https://digi.kansalliskirjasto.fi/teos/binding/2100584?term=dr%C3%A4ngsten&page=146,Maximilian Stejskal,1954-01-01,2025-10-22,"D 1. Att lyfta sten har enligt SFLD s. 57 varit en »vida spridd» sed. En dylik sten får beteckningen löftesten (Sm, EU 215—13; Vr, ULMA 2128:3 s. 1, 10), löttesten (Sm, LUFS 9280:26), lyftning (Vm, ULMA 4906 s. 22, 37), löftingar (Gä, ULMA 9060 s. 512), kämpasten (Sm, EU 8908, 215), kampasten (Sm, EU 215), kamphäva (Sm, ULMA 92:43 s. 76), kappastenar (Sm, LUFS 6730:39), drängsten (Nä, ULMA 1914 s. 28; Vg, EU 25984-27), drängalyft (Sm, EU 5582), drängalötten (Sm, EU 37597). Andra benämningar är pojkestenar eller herestenar (Vg, EU 27), bjässestenar (Vg, EU 1202,-34), kyrkklot (Vg, ULMA 2750:4 s. 322), kringlet sten (Sm, ULMA 2155:10 s. 82). Dessa lyftstenar är mycket vanliga (Ög, EU 215-13) och finns i vissa socknar i alla byar (Vg, THS 27). Det omtalas 30 st. lyftstenar i en gård (Up, ULMA 3266:2 s. 7). Se kap. 1 s. 30 not.",,,,,
valokuvapaulaharju1928,https://www.finna.fi/Record/museovirasto.8319F7526E14A0B65CD5DCF49C0369E9,Samuli Paulaharju,1928-01-01,2025-10-19,"(KUVA) Porasen tuvan väkikivi
Paulaharju, Samuli , kuvaaja 1928",Porasen tuvan väkikivi,,,,
perhojokilaakso13012021,https://www.perhonjokilaakso.fi/artikkeli/perinnenyrkki-porasen-poikien-latoa-urakoivat-samuli-paulaharjun-kuvassa-viitalan-pojat,Samuli Paulaharju,2021-01-13,2025-10-22,"Perhonjokilaaksossa 6.1. julkaistu kansatieteilijä Samuli Paulaharjun kuva Porasen poikia rakentamassa omaa latoa oli tuttu perholaiselle Eero Viitalalle. Pieninä rakennusmiehinä ahkeroivat hänen tuolloin 6-vuotias isänsä Martti Viitala (vasemmalla) ja setänsä Tauno ja Tenho Viitala vuonna 1928. Lad

",Porasen tuvan väkikivi,,,,
kotiliesi19290815,https://digi.kansalliskirjasto.fi/aikakausi/binding/914090?page=14,,1929-08-19,2025-12-01,"Mutta vain vaateorsien vaalijaksi ja tupakoreaksi ei nuorta naurusuista Liisaa Kinniään tuotu. Hän tiesi kyllä hyvin jo tullessaankin, että heti oli nuorikon miehen rinnalla käytävä raskaimpiinkin ulkotöihin ja tätä varten hän oli tuonut tullessaan omat tutut työkalunsakin: kassaran, sirpin, viikatteen, kirveen ja perukuokan.
Mutta kun suuri ja komea Marjaana, oikein kuuluisa työnraataja, tervametsien koloaja ja väkikivien nostaja samoihin aikoihin tuli Kyyjärven Nopolasta Perhon Jylhäseen miniäksi, oli hänellä vaateva-
rustusten, sekä huone- ja talouskalujen lisäksi mukanaan kaikki työkalut, mitä miehetkin tarvitsevat. Oli kolme kirvestä ja piilu neljäs, neljä viikatetta, sirppi ja kassari, perukuokka ja kytökuokka, talikko, kolme navaria, kolme höylää, kahdet kärryt ja reki sekä ketun ja sudenraudat.",,,,,
carsten1886,https://yksa.disec.fi/Yksa4/id/173170514560200?direction=previous&rd=0#tab/basic,Carstén,1886-01-01,2025-10-24,Kertomus Haapajärven kihlakunnan muinaisjäännöksistä. Jättiläisten väkikivet s. 35,,,,,
